,Country/Region,date_first_case,date_first_death,days_c1_to_d1,date,cases,deaths
124,Nicaragua,2020-03-19,2020-03-27,8.0,2021-09-03,11735,200
125,Niger,2020-03-20,2020-03-25,5.0,2021-09-03,5869,199
126,Nigeria,2020-02-28,2020-03-23,24.0,2021-09-03,194088,2495
127,North Macedonia,2020-02-26,2020-03-22,25.0,2021-09-03,178879,6013
128,Norway,2020-02-26,2020-03-14,17.0,2021-09-03,165051,822
129,Oman,2020-02-24,2020-03-31,36.0,2021-09-03,302466,4070
130,Pakistan,2020-02-25,2020-03-18,22.0,2021-09-03,1171578,26035
131,Panama,2020-03-10,2020-03-11,1.0,2021-09-03,459077,7073
132,Papua New Guinea,2020-03-20,2020-07-20,122.0,2021-09-03,17926,192
133,Paraguay,2020-03-08,2020-03-21,13.0,2021-09-03,458799,15864
134,Peru,2020-03-06,2020-03-06,0.0,2021-09-03,2153092,198420
135,Philippines,2020-01-30,2020-02-02,3.0,2021-09-03,2040568,33873
136,Poland,2020-03-04,2020-03-12,8.0,2021-09-03,2889773,75372
137,Portugal,2020-03-02,2020-03-17,15.0,2021-09-03,1042322,17772
138,Qatar,2020-02-29,2020-03-28,28.0,2021-09-03,233280,602
139,Romania,2020-02-26,2020-03-22,25.0,2021-09-03,1103198,34650
140,Russia,2020-01-31,2020-03-19,48.0,2021-09-03,6875713,182341
141,Rwanda,2020-03-14,2020-05-30,77.0,2021-09-03,89172,1112
142,Saint Kitts and Nevis,2020-03-25,2021-06-17,449.0,2021-09-03,1148,4
143,Saint Lucia,2020-03-14,2020-11-10,241.0,2021-09-03,8887,116
144,Saint Vincent and the Grenadines,2020-03-14,2021-01-15,307.0,2021-09-03,2358,12
145,San Marino,2020-02-29,2020-02-29,0.0,2021-09-03,5345,90
146,Sao Tome and Principe,2020-04-06,2020-05-01,25.0,2021-09-03,2657,37
147,Saudi Arabia,2020-03-02,2020-03-24,22.0,2021-09-03,543318,8512
148,Senegal,2020-03-02,2020-04-01,30.0,2021-09-03,73047,1785
149,Serbia,2020-03-06,2020-03-20,14.0,2021-09-03,773426,7339
150,Seychelles,2020-03-15,2021-01-05,296.0,2021-09-03,20230,103
151,Sierra Leone,2020-03-31,2020-04-23,23.0,2021-09-03,6371,121
152,Singapore,2020-01-23,2020-03-21,58.0,2021-09-03,68210,55
153,Slovakia,2020-03-06,2020-03-18,12.0,2021-09-03,395532,12549
154,Slovenia,2020-03-05,2020-03-14,9.0,2021-09-03,269248,4453
155,Somalia,2020-03-16,2020-04-08,23.0,2021-09-03,17630,992
156,South Africa,2020-03-05,2020-03-27,22.0,2021-09-03,2805604,83161
